Job Title,Company Name,Location,Content,Link,Date
Gen AI Solution Lead,Tata Consultancy Services,"Jamjodhpur, Gujarat, India","Gen AI Developer

Job Title: Solution Leads

Education: B.E. / B. Tech.

Experience: 15+ years Core IT Solutions/Architecture/Design expertise, specifically in AI, GenAI

Primary
• Hands-on Experience to all SDLC Phases
• Solution Conceptualization
• Expertise in Technical Design, specifically in AI, GenAI
• Exposure to Technology Architecture, specifically in Ai, GenAI
• Customer Liaison Experience
• Pre-sales Experience

Desirable: Research and Innovation inclination

Intellectual Property (IP) Creation and Filing

Good domain knowledge of at least one industry vertical

Technical: Artificial Intelligence, Machine Learning, Deep Learning, Generative AI

Expertise on Java/JEE or Microsoft Stack

Languages – Python, C#, Java, PERL, PHP

Know-How:

Trustworthy AI

HCI, Distributed Large Scale Enterprise Architecture,

Mobility, Cloud Computing

Performance, Scalability, Availability, Security, Deployment

Awareness:

Technology Trends and Advancements

Responsibility:
• Opportunity identification for Value-Add solution – Create Point of View and Business case
• Conceptualize / Design / Develop the AI, GenAI, solution
• Team Building
• Collaboration with relevant teams in TCS to enable solution delivery

Measures:

Number of solutions and the business value delivered",https://www.recruit.net/job/gen-ai-solution-jobs/1B31B91D1BA4039B?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
"AWS GenAI Engineer (Prompt Engineering, Python, Bedrock)-10	12Yrs Exp Kol,Hyd, Chennai, Pune",Tata Consultancy Services,"Hyderabad, Telangana, India","AWS GenAI Engineer (Prompt Engineering, Python, Bedrock)

-Exp-10012Yrs

Location- Kolkata, Hyderabad, Chennai, Pune

Main Responsibilities of a Generative AI Engineer

Your main responsibilities will include:
• Designing, developing, and implementing generative AI models and algorithms utilizing state-of-the-art techniques such as GPT, VAE (Variational AutoEncoders), and GANs (Generative Adversarial Networks).
• Collaborating with cross-functional teams to define AI project requirements and objectives, ensuring alignment with overall business goals.
• Conducting research to stay up-to-date with the latest advancements in generative AI, machine learning, and deep learning techniques and identify opportunities to integrate them into our products and services.
• Optimizing existing generative AI models for improved performance, scalability, and efficiency.
• Developing and maintaining AI pipelines, including data preprocessing, feature extraction, model training, and evaluation.
• Developing clear and concise documentation, including technical specifications, user guides, and presentations, to communicate complex AI concepts to both technical and non-technical stakeholders.
• Contributing to the establishment of best practices and standards for generative AI development within the organization.
• Providing technical mentorship and guidance to junior team members.

Main Responsibilities of a Generative AI Engineer

Your main responsibilities will include:
• Designing, developing, and implementing generative AI models and algorithms utilizing state-of-the-art techniques such as GPT, VAE (Variational AutoEncoders), and GANs (Generative Adversarial Networks).
• Collaborating with cross-functional teams to define AI project requirements and objectives, ensuring alignment with overall business goals.
• Conducting research to stay up-to-date with the latest advancements in generative AI, machine learning, and deep learning techniques and identify opportunities to integrate them into our products and services.
• Optimizing existing generative AI models for improved performance, scalability, and efficiency.
• Developing and maintaining AI pipelines, including data preprocessing, feature extraction, model training, and evaluation.
• Developing clear and concise documentation, including technical specifications, user guides, and presentations, to communicate complex AI concepts to both technical and non-technical stakeholders.
• Contributing to the establishment of best practices and standards for generative AI development within the organization.
• Providing technical mentorship and guidance to junior team members.

Thank you

TCS HR

Purnima Solanki",https://in.linkedin.com/jobs/view/aws-genai-engineer-prompt-engineering-python-bedrock-10%0912yrs-exp-kol-hyd-chennai-pune-at-tata-consultancy-services-4094839080?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
"AI/ML, GENAI, NLP, Deep Learning, LLM Models",Tata Consultancy Services,"Mumbai, Maharashtra, India","Role ** AIML GenAI Engineer Required Technical Skill Set ** NLP, LAMA Model, AI, ML, GenAI Desired Experience Range ** 4 – 7 years Location of Requirement : Mumbai, Hyderabad, Bangalore Desired Competencies (Technical/Behavioral Competency) Must-Have** (Ideally should not be more than 3-5) · Expertise on NLP, LAMA Model · Expertise AI, ML, GENAI · Experience on identifying right model and train models. · Machine learning (ML), Data Science, Statistical modeling. · Python Programming. · Develop and maintain a platform that automates creating, training, deploying and updating machine learning models. · Build, maintain, and optimize machine learning solutions. · experience building large-scale data pipelines. · GEN-AI knowledge Good-to-Have Devops Knowledge SN Responsibility of / Expectations from the Role Understanding the requirements. designs, builds, and runs machine learning systems at scale. maintaining the infrastructure that supports the models and algorithms that power the products improving your model's accuracy by tweaking its parameters or updating the data it uses for training Develop and maintain a platform that automates creating, training, deploying and updating machine learning models. Customer Product Documentation Participation in trouble report reviews and analysis System Integration Testing",https://jobs.techwireasia.com/job/aiml-genai-nlp-deep-learning-llm-models-bRP92sLt_M-at-tata-consultancy-services-3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AI Innovator for Next-Generation Solutions,Tata Consultancy Services,"Hyderabad, Telangana, India","Job Overview

We are seeking a highly skilled AWS GenAI Engineer to join our team in developing and implementing cutting-edge generative AI models and algorithms. As a key member of our cross-functional team, you will be responsible for designing, developing, and optimizing AI solutions that drive business growth and innovation.",https://in.bebee.com/job/78de4af3794282123c6c7398ea5394b6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Gen AI  - 46079,Wipro,India,"Job Title : Generative AI - 46079

Location: Bangalore/Chennai

Experience : 4 to 12 years

Mandatory Skills

Gen AI, LLM, ML/DL/NLP, RAG, Lang chain, Llama, Hugging Face, Python, Tensorflow, Pytorch, Django, Vector DB

Preferred Skills

Azure/AWS, MLOps, Kubernetes, GitHub/Bitbucket, GPT-4, Banking exposure

Job Description / Roles & Responsibilities (in Detail)

• Strong understanding of machine learning and deep learning principles and algorithms.

• Experience in developing and implementing generative AI models and algorithms.

• Proficiency in programming languages such as Python, TensorFlow, and PyTorch.

• Ability to work with large datasets and knowledge of data preprocessing techniques.

• Familiarity with natural language processing (NLP) and computer vision for generative AI applications.

• Experience in building and deploying generative AI systems in real-world applications.

• Utilize advanced machine learning techniques to develop and train generative AI models.

• Collaborate with cross-functional teams to groom and preprocess large datasets for model training.

• Research and implement cutting-edge algorithms and architectures for generative AI applications.

• Working on prompt design, prompt template creation, prompt tuning/optimization for various GenAI base models

• Stakeholder management across business and domains as required for the projects

• Evaluating base models and benchmarking performance

• Implement prompt guardrails to prevent attacks like prompt injection, jail braking and prompt leaking

• Develop, deploy and maintain auto prompt solutions

• Design and implement minimum design standards for every use case involving prompt engineering

• Writing reusable, testable, and efficient code using Python

• Design and implementation of low-latency, high-availability, and performant applications",https://in.linkedin.com/jobs/view/gen-ai-46079-at-wipro-4180085116?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AI/GenAI Architect,Wipro,"Pune, Maharashtra, India","About Wipro

Wipro is a global leader in technology and consulting, committed to driving innovation and transformation for businesses worldwide. We focus on delivering impactful solutions that harness the power of AI and data to create value for our clients.

Job Description

As an AI/GenAI Architect, you will play a critical role in shaping the AI strategy and solutions at Wipro. You will collaborate with various stakeholders to design and implement advanced AI architectures that meet business objectives and drive innovation.

Key Responsibilities
• Collaboration. Work closely with Business Units and stakeholders to understand their goals and determine AI requirements.
• Design and Development. Create and develop AI architectures, frameworks, and algorithms for large-scale, sophisticated AI solutions.
• Technology Evaluation. Assess and select the appropriate AI technologies, tools, and frameworks to ensure optimal performance, accuracy, and scalability.
• Model Implementation. Oversee the development and implementation of AI models, adhering to best practices in machine learning and deep learning.
• AI Pipelines. Build and maintain AI pipelines, encompassing data cleaning, pre-processing, feature engineering, model training, and validation.
• Code Reviews. Conduct regular code reviews and provide technical guidance to junior team members.
• Continuous Learning. Stay current with the latest advancements in AI technologies and frameworks, identifying opportunities for their application.
• Deployment Collaboration. Work with infrastructure teams to ensure smooth deployment and monitoring of AI models in production environments.
• Documentation. Document AI architectures, design decisions, and technical specifications for future reference and knowledge sharing.

Qualifications
• Education. Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, or a related field.
• Experience. Proven experience as an AI Technical Lead or Architect, with a strong understanding of machine learning, deep learning, and natural language processing (NLP).
• LLMs Expertise. Experience with large language models (LLMs), model training, evaluation, and performance benchmarking.
• Programming Proficiency. Strong skills in programming languages such as Python, Java, or C++, and familiarity with AI libraries (e.g., TensorFlow, PyTorch, Keras).
• Large-Scale Solutions. Experience in designing and implementing comprehensive AI solutions, covering data ingestion, storage, processing, and deployment.
• Cloud Platforms. Good understanding of cloud computing platforms (AWS, Azure, Google Cloud) with hands-on experience deploying AI models.
• Problem-Solving Skills. Excellent analytical skills to decompose complex problems into actionable components.
• Communication. Strong communication and teamwork abilities, capable of collaborating within multi-functional teams.
• Ethical Considerations. Knowledge of ethical considerations and responsible AI practices is a plus.

Why Join Wipro?
• Innovative Environment. Be part of a forward-thinking company that values creativity and innovation.
• Career Development. Access to continuous learning opportunities and professional growth.
• Diversity and Inclusion. Join a diverse team where your ideas and contributions are valued.
• Global Impact. Work on projects that make a difference in various industries around the world.

Join Wipro and contribute to the development of cutting-edge AI solutions that empower businesses and improve lives.

Apply Now!",https://web3universe.today/job/ai-genai-architect/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
GenAI/AI/ML,Wipro,"West Bengal, India","Dear Candidate,

Wipro is seeking a highly motivated individuals to join our dynamic team. In this role, We are looking for a passionate individual who can meet our requirement and to contribute to our growing success.

Primary Skill: GenAI/AI/ML
Exp: 8 to 15 yrs
Location : Kolkata

JD:

Total 8+ years of experience with designing and implementing AI/ML model, out of which minimum 2+ years on implementing GenAI based solutions.
Strong implementation expertise around foundation models like computer vision models (ResNet, EfficientNet, YOLO) and Generative Model Transformers (GANs, VAEs) to augment the intelligence of low latency predictive algorithms.
Experience in development and deployment of Models in battery powered Compute Devices having GPUs/TPUs/NPUs accelerators for offline training and inferencing.
Experience with deploying and fine tuning Large Multi-modal models with capability of audio synthesis, generative image and video.
Conversant with Quantization, Speculative Decoding, Kernel Fusion, CoT, RAG, PeFT.
Conversant with model evaluation techniques and benchmarks.
Conversant with design, develop, and optimize data pipelines for ingesting, processing, and transforming large-scale data from various sources (structured and unstructured).
Create and maintain data models that align with ML requirements.
Deploy ML models (Computer Vision, NLP) into production systems and operationalize MLOps.
Knowledge of ML frameworks (TensorFlow, PyTorch, OpenCV) and familiarity with deep learning concepts is a must.
Experience with cloud platforms (e.g., AWS, GCP, Azure) and containerization (Docker, Kubernetes).
Strong proficiency in Python, SQL, and ETL tools (e.g., Apache Spark, Airflow).

Interested candidate can apply or send the resume to with below details
CTC
ECTC
NP
Preferred Work Location:

Regards,
Vivek",https://en-in.whatjobs.com/gfj/99211466?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
"Data Scientist​/Python, GenAI",Wipro,"Bengaluru, Karnataka, India","Position: Data Scientist (Python, GenAI)
Title:

Data Scientist (Python, GenAI)
Type: Hybrid (3 Days Office)
Location - Bangalore, Hyderabad, Chennai, Pune, Kolkata
(PAN India Wipro ODC also acceptable).

Job Description:

Mandatory

Skills: Python, Gen AI, AWS/GCP Cloud, NLP

• Looking for 6+ years of total experience.

• 5+ years of experience in Python using common data science libraries such as scikit-learn and Databricks

• 3+ years of experience applying NLP (transformers, gpt, etc) in a production setting using large amounts of data

• 2-3 years of experience applying LLMs (RAG, vector db, embed dings) to solve real world problems

• Experience applying data science techniques in a commercial enterprise, including supervised, unsupervised learning, NLP, time-series forecasting and other statistical analyses

• Experience building APIs for the models

• Strong written & verbal communication skills; including the ability to present detailed analyses to a broad audience

• Organized self-starter, with drive and commitment; able to work with little supervision

• Strong analytical, quantitative, problem-solving, and critical thinking skills
Experience using vision and speech models in GenAI",https://www.learn4good.com/jobs/bangalore/india/info_technology/4040093215/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
"Data Scientist (Python, GenAI) | (LER-694)",Wipro,Anywhere,"Title: Data Scientist (Python, GenAI) Type:

Hybrid (3 Days Office) Location

- Bangalore, Hyderabad, Chennai, Pune, Kolkata (PAN India Wipro ODC also acceptable).

Job Description:

Mandatory Skills: Python, Gen AI, AWS/GCP Cloud, NLP

• Looking for 6+ years of total experience. • 5+ years of experience in Python using common data science libraries such as scikit-learn and Databricks • 3+ years of experience applying NLP (transformers, gpt, etc) in a production setting using large amounts of data • 2-3 years of experience applying LLMs (RAG, vector db, embeddings) to solve real world problems • Experience applying data science techniques in a commercial enterprise, including supervised, unsupervised learning, NLP, time-series forecasting and other statistical analyses • Experience building APIs for the models • Strong written & verbal communication skills; including the ability to present detailed analyses to a broad audience • Organized self-starter, with drive and commitment; able to work with little supervision • Strong analytical, quantitative, problem-solving, and critical thinking skills Experience using vision and speech models in GenAI",https://www.kitjob.in/job/114121354/data-scientist-python-genai-ler-694-bengaluru/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
GENAI Engineer – CANVAS AI,LTIMindtree,"Hyderabad, Telangana, India","About LTIMindtree

LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. With a workforce of over 10,001 employees, LTIMindtree is committed to creating value for its customers through innovative solutions and cutting-edge technology.

About Canvas.ai

Canvas.ai is an advanced Enterprise GenAI Enablement and Acceleration Platform designed to expedite the deployment and management of Generative AI applications. The platform comes with built-in use cases and offers features such as guardrails, governance, content hub, access controls, and rate-limiting, which help enterprises accelerate their AI initiatives for both internal and external applications.

Job Description

As a GENAI Engineer for Canvas.ai at LTIMindtree, you will play a crucial role in developing and executing marketing strategies for our generative AI products and solutions. You will be responsible for creating compelling product positioning and messaging collateral, supporting marketing campaigns, and engaging with top internal stakeholders. Your role will also involve guiding junior team members and managing platform integrations with hyperscalers.

Key Responsibilities
• Marketing Strategy. Develop and execute marketing strategies for generative AI products and solutions.
• Product Positioning. Create product positioning and messaging collateral.
• Content Creation. Produce marketing content for product launches, events, and sales enablement. Support marketing campaigns and programs.
• Stakeholder Engagement. Evangelize the platform among top internal stakeholders, conduct demos, and collect feedback.
• Product Management. Prepare product feature prioritization based on impact, rollout plans, and identify top use-cases to target in each vertical.
• Team Collaboration. Collaborate with cross-functional teams and guide junior team members.
• Platform Integration. Manage platform integrations with hyperscalers and other partners.
• Event Management. Manage key digital and physical events.
• Content Writing. Write and edit content such as case studies, videos, website copy, and blog posts.

Qualifications

Experience
• Minimum of 2 years of product/solution marketing/management experience.
• At least 2 years of experience with software platforms (knowledge of AI is a plus).
• Data Science / Analytics experience is desirable.

Skills
• Strong written and oral communication skills.
• Excellent interpersonal skills for interactions with colleagues, customers, and cross-functional teams.
• Program Management skills are a plus.

Desired Skills and Experience
• Experience in marketing and managing software platforms.
• Strong understanding of AI and data science concepts.
• Ability to produce high-quality marketing content.
• Strong project management and organizational skills.
• Ability to work collaboratively with cross-functional teams.

How to Apply. If you meet the qualifications and are excited about the opportunity to work with a cutting-edge generative AI platform, we encourage you to apply. Please submit your resume and a cover letter detailing your experience and why you would be a great fit for this role.",https://web3universe.today/job/genai-engineer-canvas-ai/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AI Assurance Architect Opening |Pune/Mum/Kolkata/Chennai/Noida/Bang|10-16Yrs with GenAi/AI (4+ Yrs),LTIMindtree,"Chennai, Tamil Nadu, India","AI Assurance Architect

Objective : Oversee development testing strategies and framework for AI led solutions.

Experience : 10 - 15 Yrs |

GenAi/AI Exp : 4+ Years

Location :Pune/Mum/Kolkata/Chennai/Noida/Bangalore

NP: Immediate -60 days

Skills :

AI Expertise

In-depth understanding of artificial intelligence, machine learning, and deep learning concepts.

Knowledge of various AI frameworks, libraries, and tools (e.g., TensorFlow, PyTorch).

Testing Methodologies

Proficiency in designing and implementing testing methodologies specific to AI models and algorit

hms.Experience in testing different types of AI models, including supervised and unsupervised learning.

Data Quality Assurance

Expertise in assessing and ensuring the quality of training data for AI models. Familiarity with data preprocessing and cleaning techniques to enhance model performance.

Automation and Tooling

Strong skills in developing automation scripts using any of the Open-source tools for AI applications. Familiarity with specialized AI testing tools and frameworks.

Performance and Scalability Testing

Experience in assessing and optimizing the performance and scalability of AI

models. Ability to simulate various scenarios to evaluate AI model behaviour under different conditions.

Ethical AI Practices

Knowledge of ethical considerations in AI and the ability to implement testing practices that align with responsible AI principles.

Collaboration

Effective collaboration with senior stakeholders, cross-functional teams

Regulatory Compliance

Awareness of regulations and standards related to AI, ensuring testing practices comply with relevant guidelines.

Problem-Solving Skills

Strong analytical and problem-solving abilities to identify and address challenges in AI testing.

Team Building

Experience of building technology testing capability from scratch

Interested can share their profiles on jigishaben.biradar@ltimindtree.com with below require details
• Total Exp:
• Rel. Exp in Artificial intelligence:
• Rel. Exp in machine learning, and deep learning concepts:
• Rel. Exp in assessing and optimizing the performance and scalability of AI models:
• Rel Exp in TensorFlow, PyTorch:
• Rel Exp as Architect
• Current CTC:
• Exp CTC:
• Official NP:
• Are you serving NP? Yes/No (if yes put LWD) :
• Current Location:
• Pref. Location:
• Holding any Offer?Yes/No:
• Current Company Name:",https://in.linkedin.com/jobs/view/ai-assurance-architect-opening-pune-mum-kolkata-chennai-noida-bang-10-16yrs-with-genai-ai-4%2B-yrs-at-ltimindtree-4156192459?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AI Assurance Lead |Pune/Mum/Kolkata/Chennai/Noida/Bang|6-8 Yrs with GenAi/AI (2+ Yrs),LTIMindtree,"Bengaluru, Karnataka, India","Greetings from LTIMindtree!!!

Opening for AI Assurance lead profiles

Objective : Oversee development testing strategies and framework for AI led solutions.

Experience : 6 - 8 Yrs | GenAi/AI Exp : 2+ Years

Mandatory Skills : artificial intelligence, machine learning, deep learning concepts, TensorFlow, PyTorch,Python, NLP etc

Location : PAN India

Exp:6-11 yrs (For Lead) | GenAi/AI Exp : 2+ Years

NP: max 60 days(Immediate joiners will be preferred )

Skills :

Role Objectives:

Test & Validate the functionality and accuracy of AI-generated outputs

Expectations:

Working closely with the development team to design test cases, execute test scenarios, and identify potential data-related issues in the AI models

Contribute to the enhancement of testing processes and collaborate with cross-functional teams to ensure the overall quality and reliability of GenAI products

Strong analytical skills, attention to detail, and a keen understanding of data quality standards

Responsibility:

Develop and execute test plans for evaluating the functional performance of GenAI models

Analyse AI-generated outputs to identify discrepancies, inaccuracies, or unexpected behaviour.

Collaborate with SMEs and engineers to reproduce and debug identified issues.

Document and communicate test results,

Skills:
• Experience in software testing and Test Automation, with a focus on data validation
• Familiarity with data quality standards and best practices
• Experience with ML, deep learning, TensorFlow, Python, NLP
• Experience in applying AI to practical and comprehensive technology solutions
• Knowledge of programming languages and scripting on any one automation tool
• Experience in REST API development, NoSQL database design, and RDBMS design and optimizations
• Strong analytical and problem-solving skills
• Excellent communication and collaboration abilities

Interested can share their profiles on jigishaben.biradar@ltimindtree.com with below require details
• Total Exp:
• Rel. Exp in Artificial intelligence:
• Rel. Exp in machine learning, and deep learning concepts:
• Rel. Exp in assessing and optimizing the performance and scalability of AI models:
• Rel Exp in TensorFlow, PyTorch:
• Rel Exp as Lead:
• Max Team size handled as of now:
• Current CTC:
• Exp CTC:
• Official NP:
• Are you serving NP? Yes/No (if yes put LWD) :
• Current Location:
• Pref. Location:
• Holding any Offer?Yes/No:
• Current Company Name:",https://in.linkedin.com/jobs/view/ai-assurance-lead-pune-mum-kolkata-chennai-noida-bang-6-8-yrs-with-genai-ai-2%2B-yrs-at-ltimindtree-4164760646?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AIML/Gen AI Architect,Cognizant,"Chennai, Tamil Nadu, India","AIML/Gen AI Arhitect

Roles and responsibilities:
• Partner with account and sales teams to understand client requirements and develop customized AIML & GenAI solutions that address their business objectives
• Engage with existing and prospective clients to present AIML based technical solutions and platform/product demonstrations
• Lead the technical response to AIML and GenAI related RFPs/RFIs and present the technical solution in customer orals (both In-Person/Virtual)
• Architect and design advanced analytical applications such as Forecasting, Prediction, Segmentation, Optimization, Computer Vision, Speech, and Text Analytics leveraging appropriate AIML tools & technologies across major cloud platform (Azure/AWS/GCP)
• Design GenAI based solution to augment existing AIML applications and build new capabilities to address customer problems (First Party, Third Party and Open Source LLMs)
• Act as the primary technical PoC for customers to implement ""Responsible AI"" practices across the organization
• Stay up to date with latest industry trends/emerging technologies in AI and provide thought leadership to senior management and CxO teams
• Provide technical advisory & guidance to customer, pre-sales, and delivery teams on AIML/GenAI platforms and solutions

Required Skills
• Excellent verbal and written communication skills with ability to present complex AIML concepts to technical and executive audience (leveraging PPTs, Demos and Whiteboard)
• Deep expertise in designing AIML and GenAI solutions on at least 1 major cloud platform (Azure, AWS and GCP)
• Strong expertise in handling large and complex RFPs/RFIs and collaborating with multiple service lines & platform vendors in a fast-paced environment
• Strong relationship building skills and ability to provide technical advisory and guidance
• Minimum 10 years’ experience as Solution Architect designing and developing AIML applications
• Minimum 1-year hands-on experience in building GenAI applications leveraging Large Language models
• Minimum 3 years’ experience as Solution Architect in pre-sales team driving the sales process from a technical solution standpoint
• Bachelor’s or Master’s degree in computer science, engineering, information systems or a related field",https://in.linkedin.com/jobs/view/aiml-gen-ai-architect-at-cognizant-4182567893?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
GenAI Architect,HCLTech,"Noida, Uttar Pradesh, India","HCLs Engineering & R&D Services is at the cutting edge of technological innovation, dedicated to delivering advanced services and solutions that empower businesses. We are looking for passionate and creative individuals to join our team and contribute to the exciting journey of integrating Generative AI (GenAI) into our service offerings.

Position: GenAI Specialist/Architect

Location : PAN India

As a GenAI Enablement Specialist, you will play a crucial role in shaping the future of our services. You will collaborate closely with cross-functional teams to identify opportunities for GenAI integration, develop innovative solutions, and drive the adoption of these technologies across our organization.

Key Responsibilities:
Identify opportunities for integrating GenAI into our service offerings and rearchitect existing internal and customer systems to leverage GenAI and AI technologies.
Develop innovative GenAI solutions in collaboration with cross-functional teams and customers.
Drive the adoption of GenAI technologies across the organization.
Identify opportunities for integrating GenAI into our testing /V&V service offerings and re-architect existing internal and customer systems and solutions to leverage GenAI and AI technologies.
Develop innovative GenAI based test solutions in collaboration with cross-functional teams and customers.
Drive the adoption of GenAI technologies across the organization for testing.

Skills and Qualifications:
15+ years of total experience
Extensive hands on experience on GenAI or AI/ ML architecture and implementations for Test Automation / Accelerators / V&V Projects.
Test Automation experience- Architecture, Development Experience with Web, Mobile, Cloud, API, embedded automation testing and frameworks like Selenium, Appium, Cucumber, TestNG and in home grown Automation Accelerators.
Manual testing Have strong fundamental knowledge of TDLC and different types of testing performed, proficient in manual testing of product/applications testing, create test approach/plan
Use case identification- Collaborate with clients and partners to identify and understand specific use cases where test automation solutions can provide tangible benefits. Work closely with product teams to align solutions features with market need and client requirements.
Consultancy : To assess / lead the QA assessment team to understand the Customers Testing AS-IS status and come up with recommendations to meet their GenAI adoption objectives or identify opportunities for the adoption of its testing solutions / accelerators / platforms / tools.
Domain Expertise: Proven experience in one or more of the following domains: software/product engineering, aerospace, automotive, digital manufacturing, life sciences, semiconductor, telecommunications, quality assurance, or field support.
Technical Proficiency: Solid understanding of Python, natural language processing, machine learning, vector databases, analytics, image processing, and the underlying technologies powering large language models.
LLM Skills: Strong foundation in large language models (LLMs) for both online and offline models (e.g., LLaMA2, Mistral, or similar base LLMs on Huggingface). Solid understanding of various fine-tuning and retrieval-augmented generation (RAG) techniques used on base LLM models.
Cloud Services: Experience with cloud platforms like AWS, Azure, or Google Cloud for deploying and managing data infrastructure both in public and private modes.
Data Preprocessing & ETL Tools: Skills for extracting meaningful information from large datasets, managing structured, semi-structured, and unstructured data, data wrangling, and feature engineering for GenAI applications. Hands-on experience with ETL tools like Apache NiFi, Talend, and Apache Airflow.
Containerization and CI/CD: Knowledge of containerization technologies (e.g., Docker, Kubernetes) including setting up CI/CD pipelines or deploying GenAI solutions in existing ones. Experience with deploying and orchestrating GenAI solutions in scalable production environments.
Communication & Presentation Skills: Excellent verbal and written communication skills, with the ability to convey technical concepts clearly and accessibly. Experience in delivering compelling presentations to both technical and non-technical audiences.
Content Creation Tools: Proficiency in tools for creating visually appealing and informative content, such as presentation software and document editors.
Flexibility: Ability to adapt to a dynamic environment, staying agile and responsive to evolving market needs.
Outcome-Oriented: Experience working toward measurable outcomes, with success metrics such as adoption rates, impact on key performance indicators, or efficiency improvements.
Industry Experience: Preference for candidates with substantial experience in GenAI, AI/ML, or similar fields, especially those with a record of successful large-scale GenAI implementations.
Training: Ability to train resources in GenAI tools and technologies based on solutions developed in-house or COTS for production usage.
Evangelization: Promote the adoption of our GenAI solutions across customer and delivery teams for production use.
Pilot/POCs: Develop or drive the development/customization of Pilot/POCs to meet customer requirements.
Consultancy: Assess or lead the assessment team to understand the customers current status and provide recommendations to meet their GenAI adoption objectives.,",https://www.shine.com/jobs/genai-architect/hcltech/16595732?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Gen AI-PM,HCLTech,"Noida, Uttar Pradesh, India","• *Job Summary:**

We are seeking a seasoned professional to lead our Gen AI Advisory efforts. This role will be responsible for creating collateral, managing programs, and tracking progress metrics.

The ideal candidate will have strong communication and leadership skills, with the ability to collaborate across teams and drive strategic initiatives forward.

Key Responsibilities:
• Collateral creation and program management of initiatives
• Tracking program progress across multiple initiatives
• Evaneglizing GenAI and fostering training, adoption, and enhancing productivity using AI Led tooling
• Engaging CXO's and developing AI roadmaps

Requirements:
• Senior leader and strategist experience
• Knowledge of MEGA vertical / domain (Manufacturing, Energy, Government, and Aero & Defense)

Working Style:

This role requires collaboration across different teams (Labs, data scientists, AI Engineers, Business stakeholders) to drive the GenAI charter. Strong communication and leadership skills are essential to succeed in this position.",https://in.bebee.com/job/b3c265ba16ecf2530794cab3f79200f0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
